P/N,Product Description,Size,Direct Price
NU-BC-2828,FlexPro Armor Bucket Cover for 1-Man Bucket,"28"" x 28""",$235.00
NU-BC-2834,FlexPro Armor Bucket Cover for 1.5-Man Bucket,"28"" x 34""",$265.00
NU-BC-2842,FlexPro Armor Bucket Cover for 1.5-Man (Large) Bucket,"28"" x 42""",$265.00
NU-BC-2844,FlexPro Armor Bucket Cover for 1.5-Man Bucket (Specialty),"28"" x 44""",$295.00
NU-BC-2851,FlexPro Armor Bucket Cover for 2-Man Bucket,"28"" x 51""",$305.00
NU-BC-CC2834,FlexPro Armor Bucket Cover for 1.5-Man with Upper Control Cover,"28"" x 34""",$285.00
NU-BC-2834-F,FlexPro Armor ARCH Bucket Cover for 1.5-Man Bucket,"28"" x 34""",$305.00
NU-BC-2851-F,FlexPro Armor ARCH Bucket Cover for 2-Man Bucket,"28"" x 51""",$345.00
NU-BC-2834-C,FlexPro Armor 1.5-Man Bucket Cover + Shield Combo,"28"" x 34""",$305.00
NU-BC-2851-C,FlexPro Armor 2-Man Bucket Cover + Shield Combo,"28"" x 51""",$345.00
NU-BC-2834-FC,FlexPro Armor ARCH 1.5-Man + Shield Combo,"28"" x 34""",$345.00
NU-BC-2851-FC,FlexPro Armor ARCH 2-Man + Shield Combo,"28"" x 51""",$385.00
NU-BC-D4577,FlexPro Armor D-Shape Transmission BC with Upper Control Cover,"45"" x 77""",$1050.00
NU-BC-D4577-MSP,FlexPro Armor D-Shape MSP Spec (wide opening),"45"" x 77""",$1100.00
NU-BC-BY2828,FlexPro Armor BC for SDP & Pin-On Buckets with Bracket Relief,"28"" x 28""",$275.00
NU-BC-2945-EPBC,FlexPro Armor Bucket Cover for EPBC ETI Buckets,"29"" x 45""",$325.00
TC-6060,FlexPro Armor Test Tank Cover for Dielectric Test Tank,"60"" x 60""",$1100.00
NU-BCB-2834-SL,FlexPro Armor 1.5-Man Shield with Snap & Lanyard,"28"" x 34""",$45.00
NU-BCB-2851-SL,FlexPro Armor 2-Man Shield with Snap & Lanyard,"28"" x 51""",$55.00
DS-9696,Dirt Tarp 8' x 8',"96"" x 96""",$450.00
DS-9696-R,Dirt Tarp 8' x 8' Reinforced with Extra Webbing,"96"" x 96""",$510.00
DS-9696-L,"Dirt Tarp 8' x 8' ""Light""","96"" x 96""",$250.00
DS-120120,Dirt Tarp 10' x 10',"120"" x 120""",$550.00
DS-9696-PN,Pole Notch Dirt Tarp 8' x 8' with U-Shape Cut Out,"96"" x 96""",$515.00
NU-TB2524-M,"Magnetic Tool Board, by Norris Utilities","25"" x 24""",$195.00
AC-GB1512,"Grunt Bag / Nose Bag (Canvas, Embroidered)","15"" x 12""",$89.75
PJA-3-30,Pole Jacking Assembly with 3 ft Threaded Rod,—,$2000.00
