All Dates and Details Purchases by Product/Service,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,
All Dates,,,,,,,,,,,,

,Transaction date,Transaction type,Num,Vendor,Memo/Description,Quantity,Rate,Amount,Balance,SKU,Full name,Product/Service full name
,,,,,,,,,,,,
,10/01/2021,Credit Card Expense,,Aaron Norris / Norris Utilities,ANNUAL MEMBERSHIP FEE,,,75.00,75.00,,General business expenses:Memberships & subscriptions,
,10/01/2021,Credit Card Expense,,Aaron Norris / Norris Utilities,ANNUAL MEMBERSHIP FEE,,,550.00,625.00,,General business expenses:Memberships & subscriptions,
,10/07/2021,Expense,,,RACEWAY6824   51968246,,,5.24,630.24,,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/07/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-5.24,625.00,,Travel,
,10/08/2021,Expense,,,STAPLES       00111880,,,18.52,643.52,,Office expenses:Office supplies,
,10/11/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-68.50,575.02,,Travel,
,10/12/2021,Expense,,,CIRCLE K # 23817,,,46.05,621.07,,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/12/2021,Expense,,,SHELL OIL 57544443104,,,8.79,629.86,,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/12/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-46.05,583.81,,Travel,
,10/12/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-8.79,575.02,,Travel,
,10/13/2021,Credit Card Expense,,,CHEVRON 0205169,,,5.14,580.16,,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/13/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-5.14,575.02,,Travel,
,10/14/2021,Expense,,,EXXONMOBIL    45664778,,,2.34,577.36,,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/14/2021,Credit Card Expense,,,ELKS LAKE VALERO,,,2.76,580.12,,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/14/2021,Credit Card Expense,,,CEFCO #0504 MERIDIAN MS,,,2.14,582.26,,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/14/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-37.05,545.21,,Travel,
,10/14/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-2.34,542.87,,Travel,
,10/14/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-45.85,497.02,,Travel,
,10/14/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-2.14,494.88,,Travel,
,10/14/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-2.76,492.12,,Travel,
,10/17/2021,Credit Card Expense,,,MSU CONCESSIONS BY POP,,,22.74,514.86,,Meals,
,10/17/2021,Credit Card Expense,,,SQ *CELLARS OF STARKVILLE,,,90.93,605.79,,Meals,
,10/17/2021,Credit Card Expense,,,TACO CASA #6,,,7.70,613.49,,Meals,
,10/17/2021,Credit Card Expense,,,MARATHON PETRO168617CITGO,,,14.32,627.81,,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/17/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-14.32,613.49,,Travel,
,10/18/2021,Expense,,,CIRCLE K # 23732,,,50.90,664.39,,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/18/2021,Credit Card Expense,,,MARATHON PETRO168617CITGO,,,62.45,726.84,,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/18/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-10.92,715.92,,Travel,
,10/18/2021,Credit Card Credit,,,TRAVEL CREDIT $300/YEAR,,,-50.90,665.02,,Travel,
,10/21/2021,Credit Card Expense,,,SURIN 280,,,60.05,725.07,,Meals,
,10/22/2021,Credit Card Expense,,,PROTONMAIL,,,76.80,801.87,,General business expenses:Memberships & subscriptions,
,10/26/2021,Journal Entry,1,,personal credit card charges,,,"4,239.26","5,041.13",,Sapphire Reserve (9243) - 2,
,10/27/2021,Credit Card Expense,,,TEXACO 0357753,,,55.00,"5,096.13",,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/28/2021,Credit Card Expense,,,CHEVRON 0208766,,,6.04,"5,102.17",,Vehicle expenses:Vehicle gas & fuel (deleted),
,10/28/2021,Expense,,"Pearce, Bevill, Leesburg, & Moore, P.C. - CPA","Pearce, Bevill, Leesburg, & Moore, P.C.",,,385.00,"5,487.17",,Legal & accounting services:Accounting fees,
,10/28/2021,Expense,,"Pearce, Bevill, Leesburg, & Moore, P.C. - CPA","Pearce, Bevill, Leesburg, & Moore, P.C.",,,385.00,"5,872.17",,Legal & accounting services:Accounting fees,
,11/03/2021,Expense,,,Primrose Oil Company,,,20.00,"5,892.17",,Vehicle expenses,
,11/05/2021,Expense,,,Primrose Oil Company,,,55.00,"5,947.17",,Vehicle expenses,
,11/07/2021,Expense,,,CIRCLE K # 23817,,,53.55,"6,000.72",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/12/2021,Expense,,,CIRCLE K # 23802,,,59.51,"6,060.23",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/15/2021,Expense,,Aaron Norris / Norris Utilities,delta,,,376.21,"6,436.44",,Travel,
,11/16/2021,Credit Card Expense,,,HUDSONNEWS  ST1166,,,4.94,"6,441.38",,Meals,
,11/16/2021,Credit Card Expense,,,GOGO   *INFLIGHTWIFI,,,29.95,"6,471.33",,Travel,
,11/17/2021,Credit Card Expense,,,TST* JOES FIESTA GRILL AN,,,35.28,"6,506.61",,Meals,
,11/17/2021,Credit Card Expense,,,TGI FRIDAYS 2037,,,44.59,"6,551.20",,Meals,
,11/17/2021,Credit Card Expense,,,CHEVRON 0203387,,,16.25,"6,567.45",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/17/2021,Credit Card Expense,,,DELTA AIR   Baggage Fee,,,30.00,"6,597.45",,Travel,
,11/18/2021,Expense,,,SHELL OIL 57444637805,,,80.29,"6,677.74",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/18/2021,Credit Card Expense,,,MAVERIK #652,,,66.37,"6,744.11",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/18/2021,Credit Card Expense,,,CHEVRON 0374185,,,59.35,"6,803.46",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/18/2021,Credit Card Expense,,,DAVE'S JUBILEE,,,14.38,"6,817.84",,Meals,
,11/18/2021,Credit Card Expense,,,QUALITY INN,,,10.95,"6,828.79",,Travel,
,11/18/2021,Credit Card Expense,,,QUALITY INN,,,102.93,"6,931.72",,Travel,
,11/18/2021,Expense,,Wade Hogg,IXTAPA MEXICAN RESTAURAN,,,91.95,"7,023.67",,Meals,
,11/18/2021,Expense,,,WAL-MART #2782,,,24.94,"7,048.61",,Office expenses,
,11/19/2021,Credit Card Expense,,,LOAF N JUG # 0824,,,50.53,"7,099.14",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/19/2021,Credit Card Expense,,,MASA HIBACHI,,,27.05,"7,126.19",,Meals,
,11/19/2021,Credit Card Expense,,,BAKER TRUCK STOP,,,14.49,"7,140.68",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/19/2021,Credit Card Expense,,,WILD WEST PIZZERIA  S,,,25.56,"7,166.24",,Meals,
,11/19/2021,Expense,,,Oklahoma Turnpike Authority,,,2.00,"7,168.24",,Vehicle expenses:Parking & tolls,
,11/19/2021,Expense,,,muskogee turnpike,,,11.50,"7,179.74",,Vehicle expenses:Parking & tolls,
,11/21/2021,Credit Card Expense,,,BP#3743598W MEMPHIS TRAV,,,70.58,"7,250.32",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Credit Card Expense,,,CENEX RUSSELL 09882614,,,50.75,"7,301.07",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Credit Card Expense,,,TEXACO 0303021,,,50.00,"7,351.07",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Credit Card Expense,,,EXXONMOBIL    45947843,,,36.95,"7,388.02",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Credit Card Expense,,,LOVE S TRAVEL 00001206,,,49.75,"7,437.77",,Vehicle expenses:Vehicle gas & fuel (deleted),
,11/21/2021,Expense,,,EXXONMOBIL    99761504,,,4.47,"7,442.24",,Vehicle expenses:Vehicle gas & fuel (deleted),
