Sales by Customer Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,
All Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Transaction date,Transaction type,Num,Product/Service full name,Description,Quantity,Sales price,Amount,Balance,Customer full name,Class full name,Customer/Vendor message,Full name,Location full name,Location,Product/Service,Ship date,Service date,Ship via,SKU,Tax amount,Tax inclusive amount,Tax name,Transaction type,REF #,Payment method,Item class
ABM Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,
,06/30/2023,Invoice,1040,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Bucket Cover for 1.5-Man Bucket w/ Upper Control Cover - 28"" x 34"" Altec AT40G Prototype V3",Boss Products - Single Man with Upper Controls Bucket Cover - Prototype,1.00,140.00,140.00,140.00,ABM Equipment,NU Sold Products,"Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!Integrity above all else. Business Partners, simplified.Norris Utilities - A Legacy of Commitment",Sales of Product Income,ABM Equipment,ABM Equipment,"FlexPro Bucket Cover for 1.5-Man Bucket w/ Upper Control Cover - 28"" x 34"" Altec AT40G Prototype V3",06/26/2023,06/26/2023,UPS,BC-CC2834.V3,10.53,,MN-Hennepin-80004,Invoice,,,NU Sold Products
,06/30/2023,Invoice,1040,,Shipping,,,45.00,185.00,ABM Equipment,,"Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!Integrity above all else. Business Partners, simplified.Norris Utilities - A Legacy of Commitment",Shipping Income,ABM Equipment,ABM Equipment,,06/26/2023,,UPS,,3.39,48.39,MN-Hennepin-80004,Invoice,,,
,03/12/2025,Invoice,1313,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket with Upper Control Cover - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket with Upper Control Cover - 28"" x 34""",4.00,250.00,"1,000.00","1,185.00",ABM Equipment,NU Sold Products,"PO: Verbal

Ordered by: Tyler Walford


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Sales of Product Income,ABM Equipment,ABM Equipment,"FlexPro Armor Bucket Cover for 1.5-Man Bucket with Upper Control Cover - 28"" x 34""",03/12/2025,03/12/2025,UPS,NU-BC-CC2834,0.00,,MN-Hennepin-80004-80008-80009,Invoice,,,NU Sold Products
,03/12/2025,Invoice,1313,,Shipping,,,105.00,"1,290.00",ABM Equipment,,"PO: Verbal

Ordered by: Tyler Walford


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Shipping Income,ABM Equipment,ABM Equipment,,03/12/2025,,UPS,,0.00,,MN-Hennepin-80004-80008-80009,Invoice,,,
,10/20/2025,Invoice,1436,"Tooling and Equipment:FlexPro Armor Covers:Magnetic Tool Board, by Norris Utilities","Magnetic Tool Board, by Norris Utilities. Handmade in the US.",1.00,185.00,185.00,"1,475.00",ABM Equipment,NU Sold Products,"***MUST ARRIVE BY 10/23/25!*** I shipped to your home address (see tracking).

PO: Verbal

Ordered by: Tyler Walford


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Sales of Product Income,,,"Magnetic Tool Board, by Norris Utilities",10/20/2025,,UPS,NU-TB2524-M,0.00,,MN-Hennepin-80004-80008-80009,Invoice,,,NU Sold Products
,10/20/2025,Invoice,1436,,Shipping,,,50.00,"1,525.00",ABM Equipment,,"***MUST ARRIVE BY 10/23/25!*** I shipped to your home address (see tracking).

PO: Verbal

Ordered by: Tyler Walford


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Shipping Income,,,,10/20/2025,,UPS,,0.00,,MN-Hennepin-80004-80008-80009,Invoice,,,
Total for ABM Equipment,,,,,,6.00,,"$1,525.00",,,,,,,,,,,,,$13.92,$48.39,,,,,
AECI Utility Solutions - Austin Adock,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/11/2024,Invoice,1256,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""","FlexPro Armor Guard Bucket Cover for 2-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x51"". Hand Made in the USA.",1.00,205.00,205.00,205.00,AECI Utility Solutions - Austin Adock,NU Sold Products,"PO: Verbal for DEMO (NO Charge, unless Austin states otherwise.)

Ordered by: Austin Adock


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Tooling Sales,AECI Utility Solutions (deleted),AECI Utility Solutions (deleted),"FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""",12/11/2024,12/11/2024,UPS,NU-BC-2851,14.35,,MS,Invoice,,,NU Sold Products
,12/11/2024,Invoice,1256,,Shipping,,,52.00,257.00,AECI Utility Solutions - Austin Adock,,"PO: Verbal for DEMO (NO Charge, unless Austin states otherwise.)

Ordered by: Austin Adock


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Shipping Income,AECI Utility Solutions (deleted),AECI Utility Solutions (deleted),,12/11/2024,,UPS,,3.64,,MS,Invoice,,,
Total for AECI Utility Solutions - Austin Adock,,,,,,1.00,,$257.00,,,,,,,,,,,,,$17.99,,,,,,
AEP - Joshua A. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02/26/2025,Invoice,1303,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",6.00,195.00,"1,170.00","1,170.00",AEP - Joshua A. Lee,NU Sold Products,"PO: Verbal/EmailOrdered by: Joshua A. LeeTracking #2: 1Z2W49000356454258Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",02/26/2025,02/26/2025,UPS,NU-BC-2834,0.00,,Tax Exempt,Invoice,,Credit Card,NU Sold Products
,02/26/2025,Invoice,1303,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""","FlexPro Armor Guard Bucket Cover for 2-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x51"". Hand Made in the USA.",6.00,210.00,"1,260.00","2,430.00",AEP - Joshua A. Lee,NU Sold Products,"PO: Verbal/EmailOrdered by: Joshua A. LeeTracking #2: 1Z2W49000356454258Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Tooling Sales,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""",02/26/2025,02/26/2025,UPS,NU-BC-2851,0.00,,Tax Exempt,Invoice,,Credit Card,NU Sold Products
