Detailed Sales Report - Product and Services ALL,,,,,,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,,,,,,
All Dates,,,,,,,,,,,,,,,,,

,Transaction date,Transaction type,Num,SKU,Customer,Customer full name,Memo/Description,Quantity,Sales price,Amount,Balance,Full name,Product/Service full name,Payment method,Tracking #,Service date,Ship date
Credit Card Processing,,,,,,,,,,,,,,,,,
Credit Card Processing Fee,,,,,,,,,,,,,,,,,
,12/05/2022,Invoice,1010,4%,Chain Electric,Chain Electric,Credit Card process fee of 3.5%,0.00,,0.00,0.00,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,,
,02/27/2023,Invoice,1017,4%,Chain Electric,Chain Electric,3.5% Credit Card Processing Fee of order total amount.,0.00,,0.00,0.00,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,,
,04/25/2023,Invoice,1024,4%,AEP/SWEPCO - Shreveport,AEP/SWEPCO - Shreveport,,1.00,220.00,220.00,220.00,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,,03/28/2023
,05/23/2023,Invoice,1027,4%,Chain Electric,Chain Electric,,1.00,128.39,128.39,348.39,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,,
,06/01/2023,Invoice,2023 EUFMC,4%,Versalift,Versalift,4% Credit Card Processing Fee,1.00,11.00,11.00,359.39,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,,06/01/2023
,06/14/2023,Invoice,1032,4%,Terex Utilities,Terex Utilities,Credit Card Processing Fee,1.00,10.20,10.20,369.59,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,1Z2W4900038490241,,06/13/2023
,08/23/2023,Invoice,1044,4%,PowerGrid Services - AP,PowerGrid Services - AP,4% Credit Card Processing Fee,1.00,37.00,37.00,406.59,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,,08/08/2023
,09/05/2023,Invoice,1048,4%,AEP/SWEPCO - Shreveport,AEP/SWEPCO - Shreveport,4% Credit Card Processing Fee,1.00,40.60,40.60,447.19,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,1Z2W49000392346842,,09/05/2023
,10/01/2023,Invoice,1075,4%,LineTec - Steve Guthrie,LineTec - Steve Guthrie,4% Credit Card Processing Fee,1.00,36.50,36.50,483.69,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,Credit Card,,,
,10/09/2023,Invoice,1054,4%,AEP/SWEPCO - Shreveport,AEP/SWEPCO - Shreveport,4% Credit Card Processing Fee,1.00,17.88,17.88,501.57,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,1Z2W49000393405348,10/09/2023,10/09/2023
,10/23/2023,Invoice,1062,4%,ULCS - Birmingham,ULCS - Birmingham,4% Credit Card Processing Fee,1.00,21.20,21.20,522.77,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,,10/25/2023
,12/01/2023,Invoice,1070,4%,Chain Electric,Chain Electric,4% Credit Card Processing Fee,1.00,82.20,82.20,604.97,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,11/30/2023,12/01/2023
,12/01/2023,Invoice,1071,4%,Mississippi Power - Fleet,Mississippi Power:Mississippi Power - Fleet,4% Credit Card Processing Fee,1.00,109.75,109.75,714.72,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,12/01/2023,11/29/2023
,12/08/2023,Invoice,1076,4%,Alabama Power - Mike Dill,Alabama Power:Alabama Power - Mike Dill,4% Credit Card Processing Fee,1.00,8.50,8.50,723.22,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,12/06/2023,12/06/2023
,12/13/2023,Invoice,1078,4%,ULCS - Birmingham,ULCS - Birmingham,4% Credit Card Processing Fee,1.00,34.50,34.50,757.72,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,,12/14/2023
,12/21/2023,Invoice,1080,4%,ULCS - Birmingham,ULCS - Birmingham,4% Credit Card Processing Fee,1.00,49.00,49.00,806.72,Credit Card Processing Fee Income,Credit Card Processing:Credit Card Processing Fee,,,12/21/2023,12/21/2023
